순위,채널명,태그,주간_조회수
285,뻑가 PPKKa,,"1,565,670"
286,70대 어머니와떠나는먹방여행,,"1,561,808"
287,대륙판눈요기TV,,"1,553,030"
288,바라던 바다,#바라던바다,"1,547,914"
289,천뚱TV,#짜장면먹방,"1,546,205"
290,Zero_sider,,"1,543,015"
291,한화생명,"#한화생명, #한화생명금융서비스","1,534,373"
292,JTBC Drama,"#알고있지만, #메이킹","1,513,810"
293,눈 짦은 영상 ..,#short,"1,512,760"
294,SBS 뉴스,"#공군, #블랙박스","1,505,022"
295,BTS LIVE 2020,,"1,504,113"
296,알콩서준달콩하린,"#슈퍼히어로, #DancingSuperhero","1,503,085"
297,여기어때,"#올여름엔, #도망가자","1,501,960"
298,Zero_sider,,"1,494,888"
299,악인전 - 인물소개,,"1,491,757"
300,프리티에스더 PrettyEsther,"#shorts, #말랑이거래","1,490,285"
