순위,채널명,태그,일일_조회수
88,토비아트 - TobiART,"#drawing, #coloring","484,215"
89,Lovely Pets,"#short, #dogs","481,569"
90,Ox_Zung Squad,"#OxZung, #OxZungmama","476,365"
91,BLACKPINK,"#ROSÉ, #로제","465,527"
92,Ox_Zung Squad,"#OxZung, #OxZungmama","459,543"
93,Wanyo mori,#Shorts,"457,765"
94,tvN D ENT,"#사소한모음, #식스센스","457,589"
95,스타핫이슈,"#옥동자정종철, #옥동자근황","456,107"
96,BLACKPINK,"#ROSÉ, #로제","455,550"
97,TBS 시민의방송,,"455,117"
98,HYBE LABELS,"#jhope, #BeckyG","453,503"
99,SMTOWN,"#TAEYEON, #태연","440,909"
100,프리티에스더 PrettyEsther,"#shorts, #말랑이거래","440,383"
101,JYP Entertainment,"#TWICE, #Eyeswideopen","439,528"
102,MG새마을금고,"#MG새마을금고, #새마을금고","434,744"
103,메가튜브,,"432,128"
104,계향쓰 GH'S,,"429,805"
105,BLACKPINK,"#BLACKPINK, #블랙핑크","428,858"
106,방울이tv,"#방울이, #방울이의하루","425,471"
107,HYBE LABELS,"#BTS, #방탄소년단","418,314"
108,Hongyu ASMR 홍유,,"417,765"
109,어스TV,"#Mukbang, #fridaynightfunkin","413,857"
110,지무비 : G Movie,"#지무비, #마블","412,450"
111,SMTOWN,"#NCTDREAM, #HelloFuture","407,964"
112,메이플스토리M,,"407,599"
113,KB국민은행,"#KB국민은행, #오십의맞춤법","407,035"
114,钢铁西游-官方频道,,"400,717"
115,SPOTV,,"397,470"
116,LG Home Appliance & Air Solution,"#LGHVAC, #LG_Air_Solution","397,179"
117,BLACKPINK,"#BLACKPINK, #블랙핑크","397,009"
118,준오브다샤,"#prank, #couple","391,244"
119,디글 :Diggle,"#놀라운토요일, #Diggle","390,595"
120,Ox_Zung Squad,"#OxZung, #OxZungmama","390,571"
121,SMTOWN,"#EXO, #엑소","389,227"
122,정패용패용,"#마마무, #솔라","384,942"
123,Hongyu ASMR 홍유,,"384,477"
124,MBCNEWS,"#골프공, #벼락","384,460"
125,MBCNEWS,"#폭우, #셀카","384,091"
126,오늘도욱하는 욱칸,"#버스기사, #습관의무서움","383,967"
127,ArtSoccer,,"383,418"
128,HYBE LABELS,"#BTS, #방탄소년단","382,309"
129,HYBE LABELS,,"379,976"
130,설기양SULGI,"#먹방, #ASMR","379,516"
131,송하랑 Ch. Songharang,#PetTheMeme,"377,839"
132,피식대학Psick Univ,"#쇼미10, #쇼미더머니","373,995"
133,짧은 영상 shorts video,#shorts,"373,959"
134,HYBE LABELS,"#BTS, #방탄소년단","372,256"
135,Jane ASMR 제인,,"371,150"
136,Warner Bros. Korea,"#스페이스잼새로운시대, #스페이스잼","370,927"
137,Ox_Zung Squad,"#OxZung, #OxZungmama","370,002"
138,백크 Baekk,,"369,758"
139,tzuyang쯔양,"#이차돌, #고기","368,764"
140,김종국 GYM JONG KOOK,"#김종국, #송지효","366,397"
141,SMTOWN,"#NCTDREAM, #HotSauce","366,053"
142,뻑가 PPKKa,,"365,357"
143,계향쓰 GH'S,,"363,473"
144,연예 뒤통령이진호,,"362,876"
145,BANGTANTV,,"362,002"
146,SBS Drama,"#펜트하우스3, #이지아","360,730"
147,Zero_sider,,"360,714"
148,던파TV,,"358,608"
149,지피티,"#헬스게이트, #셀럽워터","356,568"
150,Jane ASMR 제인,,"356,142"
151,이엔그린,,"354,908"
152,TOY GUMA,,"353,602"
153,급식왕,"#급식왕, #마법","352,750"
154,연합뉴스 Yonhapnews,"#연합뉴스, #인천","352,637"
155,MUKKABI먹깨비,,"348,613"
156,농협 공식 유튜브 채널,"#함께하는100년농협, #농협60주년광고","348,598"
157,어스TV,"#Mukbang, #fridaynightfunkin","345,799"
158,Jane ASMR 제인,,"344,190"
159,BLACKPINK,"#BLACKPINK, #SQUARETWO","343,280"
160,Ox_Zung Squad,"#OxZung, #OxZungmama","341,366"
161,HYBE LABELS,"#BTS, #방탄소년단","340,786"
162,MBCNEWS,"#남아공, #제이콥주마전대통령","340,697"
163,MOOMOO STUDIO,"#Mukbang, #ASMR","340,314"
164,스포츠암행어사,"#shorts, #르브론제임","334,665"
165,보물섬,,"334,640"
166,YTN news,,"333,751"
167,Ox_Zung Squad,"#OxZung, #OxZungmama","333,427"
168,팝핀현준,"#팝핀현준박애리, #댄스스포츠","332,278"
169,ENHYPEN,#ENHYPEN,"330,613"
170,Pohang.guy.포항.아재,"#cuisine, #cooking","330,117"
171,뻑가 PPKKa,,"330,052"
172,BLACKPINK,,"329,398"
173,픽플러스,"#shorts, #도어락","328,291"
174,ZOEY ASMR 조이,,"326,264"
175,MBCentertainment,,"325,958"
176,1분만,"#목욕탕, #세신","322,189"
177,클립튜브,"#해외반응, #일본반응","322,116"
178,진용진,,"321,552"
179,HITEJINRO,"#청정라거, #리얼탄산","321,023"
180,동아제약 OFFICIAL,"#박카스맛젤리, #박카스","320,100"
181,PAKA,,"319,923"
182,1theK (원더케이),"#NEWRELEASE, #MV","319,772"
183,뀨댕,,"319,126"
184,철구형 (CHULTUBE),,"318,827"
185,YTN news,,"317,772"
186,문복희 Eat with Boki,,"317,588"
187,포텐독TV,,"317,529"
188,핑크퐁 (인기 동요・동화),"#BabyShark, #BabySharkDance","317,346"
189,Busan International Short Film Festival,,"315,614"
190,K LIVE,,"314,669"
191,HYBE LABELS,"#ENHYPEN, #BORDER_CARNIVAL","313,001"
192,SMTOWN,"#NCT, #MakeAWish","310,486"
193,앰비션 유튜브 [AMTUBE],,"309,814"
194,진성호방송,,"309,383"
195,괴물쥐 유튜브,,"308,852"
196,HYBE LABELS,"#BTS, #방탄소년단","308,705"
197,정치일학,"#윤석열, #정경심","308,428"
198,고누리,"#고누리, #Shorts","306,843"
199,MBCNEWS,"#중국, #행인","306,620"
200,Zero_sider,,"305,817"
201,수리노을SuriNoel,,"305,501"
202,파뿌리,#궁금한이야기,"305,021"
203,포텐독TV,,"304,492"
204,진성호방송,,"304,132"
205,BLACKPINK,"#BLACKPINK, #블랙핑크","303,648"
206,숏츠영상 Shorts-video,"#shorts, #틱톡","302,487"
207,Hongyu ASMR 홍유,,"300,501"
208,단커피,"#카디비, #오프셋","299,702"
209,일주어터,"#고약한곤약, #염색약","299,464"
210,MOOMOO STUDIO,"#Mukbang, #ASMR","298,455"
211,김국진TV_거침없는 골프,"#김국진, #골프","298,425"
212,야미보이 Yummyboy,,"295,433"
213,Cuckoo,#Asmr,"295,309"
214,1theK (원더케이),"#NEWRELEASE, #MV","293,895"
215,던파TV,,"291,227"
216,하송사,,"290,827"
217,HYBE LABELS,,"290,609"
218,MBCNEWS,"#친모, #유족","290,497"
219,고누리,#고누리,"290,179"
220,문복희 Eat with Boki,,"289,709"
221,코이티비KOITV,,"287,146"
222,BLACKPINK,"#BLACKPINK, #블랙핑크","283,678"
223,사나이 김기훈,,"283,618"
224,SBS Catch,,"283,248"
225,배승희 변호사,,"282,866"
226,[중탄소년단] 구독자 2.4만명 만들기,#shorts,"282,451"
227,진성호방송,,"282,318"
228,Jane ASMR 제인,,"281,199"
229,钢铁西游-官方频道,,"280,758"
230,JYP Entertainment,"#TWICE, #FANCY","280,628"
231,Ox_Zung Squad,"#OxZung, #OxZungmama","280,266"
232,MAMAMOO,"#MAMAMOO, #마마무","280,231"
233,승비니,"#승비니, #shorts","280,141"
234,Wanyo mori,#Shorts,"280,129"
235,JYP Entertainment,"#StrayKids, #IN生","279,995"
236,삼프로TV_경제의신과함께,"#경제의신과함께, #삼프로TV","279,969"
237,금사빠TV,"#금연캠페인, #보건복지부","279,803"
238,철구형 (CHULTUBE),"#철구, #감스트","279,480"
239,EminemMusic,"#Eminem, #Stan","279,290"
